PRECINCTID,CONSOLIDATED WITH,NAME,STREET,CITY,STATE,ZIP
12-001,,JOHN HANSON MONTESSORI SCHOOL,6360 OXON HILL RD,OXON HILL,MD,20745
12-002,,FOREST HEIGHTS ELEM SCH,200 TALBERT DR,OXON HILL,MD,20745
12-003,,HILLCREST HEIGHTS ELEMENTARY SCHOOL,4305 22ND PL,TEMPLE HILLS,MD,20748
12-004,,VALLEY VIEW ELEMENTARY SCHOOL,5500 DANBY AVE,OXON HILL,MD,20745
12-005,,FORT FOOTE BAPTIST CHURCH,8310 FORT FOOTE RD,FORT WASHINGTON,MD,20744
12-006,,POTOMAC HIGH SCHOOL - GYM,5211 BOYDELL AVE,OXON HILL,MD,20745
12-007,,SAMUEL CHASE ELEM SCH,5700 FISHER RD,TEMPLE HILLS,MD,20748
12-008,,APPLE GROVE ELEMENTARY SCHOOL,7400 BELLEFIELD AVE,FORT WASHINGTON,MD,20744
12-009,,GLASSMANOR COMMUNITY CENTER,1101 MARCY AVE,OXON HILL,MD,20745
12-010,,OXON HILL MIDDLE SCHOOL - MPR,9570 FORT FOOTE RD,FORT WASHINGTON,MD,20744
12-011,,OXON HILL ELEMENTARY SCHOOL,7701 LIVINGSTON RD,OXON HILL,MD,20745
12-012,,OXON HILL HIGH SCHOOL,6701 LEYTE DR,OXON HILL,MD,20745
12-013,,MAYA ANGELOU FRENCH IMMERSION,2000 CALLAWAY ST,HILLCREST HEIGHTS,MD,20748
12-014,,INDIAN QUEEN ELEM SCH,9551 FORT FOOTE RD,FORT WASHINGTON,MD,20744
12-015,,CROSSLAND HIGH SCHOOL,6901 TEMPLE HILL RD,TEMPLE HILLS,MD,20748
12-016,,J. FRANK DENT ELEMENTARY SCHOOL,2700 CORNING AVE,FORT WASHINGTON,MD,20744
12-017,,ALLENWOOD ELEMENTARY SCHOOL,6300 HARLEY LA,TEMPLE HILLS,MD,20748
12-018,,BARNABY MANOR ELEMENTARY SCHOOL,2411 OWENS RD,OXON HILL,MD,20745
12-019,,OXON HILL MIDDLE SCHOOL - GYM,9570 FORT FOOTE RD,FORT WASHINGTON,MD,20744
13-001,,KENMOOR MIDDLE SCHOOL,2500 KENMOOR DRIVE,LANDOVER,MD,20785
13-002,,KENTLAND COMMUNITY CENTER,2413 PINEBROOK AVE,LANDOVER,MD,20785
13-003,,J R COUSINS JR MEMORIAL CTR,8600 GLENARDEN PKY,GLENARDEN,MD,20706
13-004,,KETTERING ELEMENTARY SCHOOL,11000 LAYTON ST,UPPER MARLBORO,MD,20774
13-005,,CHARLES H. FLOWERS  HIGH SCH - MPR,10001 ARDWICK ARDMORE RD,UPPER MARLBORO,MD,20774
13-006,,LARGO HIGH SCHOOL,505 LARGO RD,UPPER MARLBORO,MD,20774
13-007,13-026,WILLIAM PACA ELEM SCH - MPR,7801 SHERIFF RD,LANDOVER,MD,20785
13-008,"13-019, 13-022, 13-027, 13-028",EXCEL ACADEMY - MPR,7910 SCOTT RD,LANDOVER,MD,20785
13-009,13-029,ARROWHEAD ELEMENTARY SCHOOL – GYM,2300 SANSBURY ROAD,UPPER MARLBORO,MD,20772
